condition,dataset,chunk_size,repeat_id,train_f1,val_f1,test_f1,precision,recall,point_f1,point_f1_fixed,point_f1pa,affiliation_f1,event_f1pa,rule_num_lines,rule_num_conditions,rule_num_thresholds,prompt_rows,avg_chunk_anomaly_density,max_chunk_anomaly_density,train_val_gap,val_test_gap,runtime_sec,token_count_detection,token_count_repair,token_count_review
evidence,9ee5879409dccef9,100,3,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0007575757575757576,0.9285714285714285,0.07820299500831947,0.0,0.0915448982140626,,0.0015139163852334909,45,2,38,25,1.0,1.0,-0.1017071645998243,0.09175905811730466,38.801419258117676,1771,0,0
evidence,9ee5879409dccef9,250,1,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0007430209107313449,0.9999999999999999,0.07820299500831947,0.006289308176100629,0.08491881939407459,,0.0014849384811200662,67,15,58,62,1.0,1.0,-0.1017071645998243,0.09175905811730466,188.619770526886,2288,0,0
evidence,9ee5879409dccef9,250,2,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,59,12,56,62,1.0,1.0,-0.1017071645998243,0.09175905811730466,35.08422303199768,2260,0,0
evidence,9ee5879409dccef9,250,3,0.06825488852579982,0.16996205312562412,0.07820299500831947,0.0007438104345978111,0.9999999999999999,0.07820299500831947,0.0003486750348675035,0.08692695642318798,,0.0014865151836908033,72,11,68,62,1.0,1.0,-0.1017071645998243,0.09175905811730466,71.76947045326233,2386,0,0
evidence,9ee5879409dccef9,500,1,0.10801493823613903,0.16996205312562412,0.4309477756286267,0.0016168148746968471,0.14285714285714285,0.4309477756286267,0.42927569207432686,0.5436559139784942,,0.0031974420463628875,55,7,40,125,1.0,1.0,-0.061947114889485094,-0.26098572250300256,81.53593039512634,2755,0,0
evidence,9ee5879409dccef9,500,2,0.17311628813724533,0.16996205312562412,0.07820299500831947,0.0007440080778019876,0.9999999999999999,0.07820299500831947,0.02186555012793673,0.08877316216543528,,0.0014869098826403256,43,10,36,125,1.0,1.0,0.0031542350116212092,0.09175905811730466,74.8058431148529,2731,0,0
evidence,9ee5879409dccef9,500,3,0.12343084019384597,0.2138364779874214,0.19120176947652986,0.002050380785002929,0.9999999999999999,0.19120176947652986,0.18789884188135192,0.23295891675642383,,0.004092370651856177,72,10,56,125,1.0,1.0,-0.09040563779357542,0.022634708510891527,138.44242119789124,3041,0,0
evidence,9ee5879409dccef9,1000,1,0.06825488852579982,0.21092482422931316,0.27015008337965535,0.9999999999999989,0.07142857142857142,0.27015008337965535,0.27015008337965535,0.8832983927323544,,0.13333333333333316,65,10,67,250,1.0,1.0,-0.14266993570351333,-0.059225259150342185,63.44922852516174,4262,0,0
evidence,9ee5879409dccef9,1000,2,0.06825488852579982,0.30341880341880334,0.1621315192743764,0.004291845493562232,0.07142857142857142,0.1621315192743764,0.1611994138203134,0.1694788151481063,,0.008097165991902727,64,9,58,250,1.0,1.0,-0.23516391489300353,0.14128728414442693,86.43479752540588,4173,0,0
evidence,9ee5879409dccef9,1000,3,0.06835902085222122,0.1947939262472885,0.1384002332588201,0.002688172043010753,0.07142857142857142,0.1384002332588201,0.1384002332588201,0.18519943568038968,,0.005181347150258998,90,12,84,250,1.0,1.0,-0.1264349053950673,0.056393692988468413,114.53332924842834,4558,0,0
evidence,9ee5879409dccef9,2500,1,0.0803234501347709,0.20590370191144447,0.09010231191001074,0.0009267840593141798,0.07142857142857142,0.09010231191001074,0.08910449425671908,0.10613190472743059,,0.001829826166514156,84,10,65,625,0.6464,0.6464,-0.1255802517766736,0.11580139000143373,221.4168200492859,8172,0,0
evidence,9ee5879409dccef9,2500,2,0.09293680297397769,0.18685238661457446,0.07830195754893873,0.9999999999999989,0.07142857142857142,0.07830195754893873,0.0782608695652174,0.13691117422387608,,0.13333333333333316,61,7,33,625,0.6464,0.6464,-0.09391558364059677,0.10855042906563572,149.15741181373596,7860,0,0
evidence,9ee5879409dccef9,2500,3,0.1029457920459131,0.2047463936714751,0.11111111111111112,0.001140450916747083,0.9285714285714285,0.11111111111111112,0.10887041831312169,0.13537722781420247,,0.0022781039165863464,92,14,53,625,0.6464,0.6464,-0.101800601625562,0.09363528256036398,131.5052809715271,8213,0,0
evidence,9ee5879409dccef9,5000,1,0.11122001547588341,0.17364405031965355,0.1542016806722689,0.0013422818791946308,0.07142857142857142,0.1542016806722689,0.15241250776558293,0.17989012392998577,,0.0026350461133069466,66,11,73,1250,0.3232,0.3232,-0.06242403484377014,0.01944236964738466,119.50384950637817,14297,0,0
evidence,9ee5879409dccef9,5000,2,0.1948900772430184,0.31527093596059114,0.07820299500831947,0.0008103727714748784,0.07142857142857142,0.07820299500831947,0.0,0.0915448982140626,,0.0016025641025640806,57,12,55,1250,0.3232,0.3232,-0.12038085871757273,0.23706794095227168,127.79766535758972,14099,0,0
evidence,9ee5879409dccef9,5000,3,0.08716623600344531,0.1766109785202864,0.08518577749346981,0.0008968609865470852,0.07142857142857142,0.08518577749346981,0.08516307823491792,0.10229572255948631,,0.0017714791851195506,106,21,80,1250,0.3232,0.3232,-0.08944474251684109,0.09142520102681659,162.72941994667053,14530,0,0
